127.0.0.1 - - [03/Oct/2021:11:29:08 +0000] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:30:00 +0000] "GET /T1/confirmation.jsp HTTP/1.1" 200 1274
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:30:00 +0000] "GET /T1/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:30:36 +0000] "GET /T1/controleur HTTP/1.1" 404 969
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:31:01 +0000] "GET /T1/controleur/ HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:31:11 +0000] "GET /T1/controleur/index.do HTTP/1.1" 404 969
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:31:27 +0000] "GET /T1/index.do HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:31:29 +0000] "GET /T1/chercher.do?motCle= HTTP/1.1" 200 2836
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:31:57 +0000] "GET /T1/editer.do?id=1 HTTP/1.1" 200 1431
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:32:29 +0000] "POST /T1/update.do HTTP/1.1" 200 1287
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:32:38 +0000] "GET /T1/chercher.do?motCle= HTTP/1.1" 200 2826
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:32:38 +0000] "GET /T1/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:40:07 +0000] "GET /T1/chercher.do?motCle= HTTP/1.1" 200 2826
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:40:07 +0000] "GET /T1/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:40:07 +0000] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:40:08 +0000] "GET /T1/index.do HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:40:11 +0000] "GET /T1/chercher.do?motCle=car HTTP/1.1" 200 1719
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:40:13 +0000] "GET /T1/editer.do?id=3 HTTP/1.1" 200 1435
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:40:40 +0000] "POST /T1/update.do HTTP/1.1" 200 1291
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:40:45 +0000] "GET /T1/index.do HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:40:47 +0000] "GET /T1/chercher.do?motCle= HTTP/1.1" 200 2816
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:43:58 +0000] "GET /T1/supprimer.do?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:43:58 +0000] "GET /T1/chercher.do?motCle= HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:44:01 +0000] "GET /T1/saisie.do HTTP/1.1" 200 1258
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:44:03 +0000] "GET /T1/index.do HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:44:04 +0000] "GET /T1/chercher.do?motCle= HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:44:06 +0000] "GET /T1/editer.do?id=7 HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:44:12 +0000] "POST /T1/update.do HTTP/1.1" 200 1287
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:46:09 +0000] "GET /T1/index.do HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:46:10 +0000] "GET /T1/index.do HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:46:10 +0000] "GET /T1/index.do HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:46:10 +0000] "GET /T1/index.do HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:46:10 +0000] "GET /T1/index.do HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:46:11 +0000] "GET /T1/chercher.do?motCle= HTTP/1.1" 200 2549
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:46:14 +0000] "GET /T1/editer.do?id=4 HTTP/1.1" 200 1425
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:46:20 +0000] "POST /T1/update.do HTTP/1.1" 200 1413
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:46:22 +0000] "POST /T1/index.do HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [03/Oct/2021:11:46:23 +0000] "GET /T1/chercher.do?motCle= HTTP/1.1" 200 2549
